ne,alpha avg,alpha max,alpha min,tau avg,tau max,tau min
14,13.00670,19.28500,11.14470,1.90863,2.82843,1.63299
122,12.18730,19.28500,10.36680,1.8839,2.82843,1.41421
184,12.15060,19.28500,10.36680,1.84927,2.82843,1.41421
250,12.21200,19.28500,10.36680,1.78916,2.82843,1.41421
758,12.09930,22.90060,8.48528,1.88427,4,1
1802,12.23270,22.90060,8.48528,1.84882,4,1
2561,12.25400,22.92420,8.48528,1.85528,4,1
4461,12.22070,25.76340,8.48528,1.87805,4,1
8267,12.18920,22.92420,8.48528,1.84763,4,1
14257,12.18800,25.76340,8.48528,1.84757,4,1
25382,12.15410,25.76340,8.48528,1.86484,4,1
46665,12.29490,25.76340,8.48528,1.84959,4,1
80115,12.30030,25.76340,8.48528,1.87904,4,1
147232,12.39140,25.76340,8.48528,1.88744,4,1
269620,12.46460,27.40140,8.48528,1.88706,4,1
486951,12.5501,27.4014,8.48528,1.91036,4,1
