Sum of y,Column Labels,,,,,,,,,,,
Row Labels,79,2946,7373,35988,90110,277876,865061,Grand Total,,,,
Alphaavg,111.044,105.275,106.604,103.646,104.68,104.502,106.006,741.757,,,,
Alphamax,209.353,380.803,592.169,683.307,648.871,973.274,826.275,4314.052,,,,
Alphamin,72.3542,45.9448,45.9448,45.9448,45.9448,45.9448,45.9448,348.023,,,,
Tauavg,2.40873,2.29049,2.29925,2.28037,2.32146,2.32533,2.35583,16.28146,,,,
Taumax,3.4641,4.89898,6.9282,6.9282,8,9.79796,11.3137,51.33114,,,,
Taumin,1.63299,1.41421,1.41421,1.29099,1.29099,1.29099,1.29099,9.62537,,,,
Grand Total,400.25702,540.62648,755.35946,843.39736,811.10825,1137.13508,993.18632,5481.06997,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,79,2946,7373,35988,90110,277876,865061
,,,,,Alphaavg,111.044,105.275,106.604,103.646,104.68,104.502,106.006
,,,,,Alphamax,209.353,380.803,592.169,683.307,648.871,973.274,826.275
,,,,,Alphamin,72.3542,45.9448,45.9448,45.9448,45.9448,45.9448,45.9448
,,,,,Tauavg,2.40873,2.29049,2.29925,2.28037,2.32146,2.32533,2.35583
,,,,,Taumax,3.4641,4.89898,6.9282,6.9282,8,9.79796,11.3137
,,,,,Taumin,1.63299,1.41421,1.41421,1.29099,1.29099,1.29099,1.29099
